Accuracy,Precision,Recall,F1-Score,AUC-ROC,ronde
0.8773,0.4083,0.8715,0.5561,0.9575,1
0.8771,0.4078,0.8715,0.5556,0.9575,2
0.8772,0.4081,0.8715,0.5558,0.9574,3
0.8772,0.4081,0.8715,0.5558,0.9575,4
0.8772,0.4081,0.8715,0.5558,0.9575,5
0.8772,0.4081,0.8715,0.5558,0.9575,6
0.8772,0.4081,0.8715,0.5558,0.9575,7
0.8772,0.4081,0.8715,0.5558,0.9575,8
0.8772,0.4081,0.8715,0.5558,0.9575,9
0.8772,0.4081,0.8715,0.5558,0.9575,10
0.8772,0.4081,0.8715,0.5558,0.9575,11
0.8772,0.4081,0.8715,0.5558,0.9575,12
0.8772,0.4081,0.8715,0.5558,0.9575,13
0.8772,0.4081,0.8715,0.5558,0.9575,14
0.8772,0.4081,0.8715,0.5558,0.9575,15
0.8772,0.4081,0.8715,0.5558,0.9574,16
0.8772,0.4081,0.8715,0.5558,0.9575,17
0.8772,0.4081,0.8715,0.5558,0.9575,18
0.8772,0.4081,0.8715,0.5558,0.9575,19
0.8772,0.4081,0.8715,0.5558,0.9575,20
